Games,Sports,Men,Women,Total,Change, Gold, Silver, Bronze,Total,Change
1900,1,1,0,1,NA,0,2,0,2,NA
1920,2,6,0,6,+5,0,0,0,0,−2
1924,2,12,2,14,+8,0,0,0,0,0
1928,2,21,0,21,+7,1,0,0,1,+1
1932,3,20,0,20,−1,1,0,0,1,0
1936,4,27,0,27,+7,1,0,0,1,0
1948,10,79,0,79,+52,1,0,0,1,0
1952,11,60,4,64,−15,1,0,1,2,+1
1956,8,58,1,59,−5,1,0,0,1,−1
1960,6,45,0,45,−14,0,1,0,1,0
1964,8,52,1,53,+8,1,0,0,1,0
1968,5,25,0,25,−28,0,0,1,1,0
1972,7,40,1,41,+16,0,0,1,1,0
1976,2,20,0,20,−21,0,0,0,0,−1
1980,1,58,18,76,+56,1,0,0,1,+1
1984,5,38,10,48,−28,0,0,0,0,−1
1988,10,39,7,46,−2,0,0,0,0,0
1992,12,44,9,53,+7,0,0,0,0,0
1996,13,45,4,49,−4,0,0,1,1,+1
2000,13,46,19,65,+16,0,0,1,1,0
2004,14,48,25,73,+8,0,1,0,1,0
2008,12,31,25,56,−17,1,0,2,3,+2
2012,13,60,23,83,+27,0,2,4,6,+3
2016,15,63,54,117,+34,0,1,1,2,−4
